School_Name,School_Type,Starting_Median_Salary,Mid_Career_Median_Salary,Percentage_increase,Mid_Career_10th_Percentile_Salary,Mid_Career_25th_Percentile_Salary,Mid_Career_75th_Percentile_Salary,Mid_Career_90th_Percentile_Salary
Massachusetts Institute of Technology (MIT),Engineering,72200 ,126000 ,0.75 ,76800 ,99200 ,168000 ,220000 
California Institute of Technology (CIT),Engineering,75500 ,123000 ,0.63 ,,104000 ,161000 ,
Harvey Mudd College,Engineering,71800 ,122000 ,0.70 ,,96000 ,180000 ,
"Polytechnic University of New York, Brooklyn",Engineering,62400 ,114000 ,0.83 ,66800 ,94300 ,143000 ,190000 
Cooper Union,Engineering,62200 ,114000 ,0.83 ,,80200 ,142000 ,
Worcester Polytechnic Institute (WPI),Engineering,61000 ,114000 ,0.87 ,80000 ,91200 ,137000 ,180000 
Carnegie Mellon University (CMU),Engineering,61800 ,111000 ,0.80 ,63300 ,80100 ,150000 ,209000 
Rensselaer Polytechnic Institute (RPI),Engineering,61100 ,110000 ,0.80 ,71600 ,85500 ,140000 ,182000 
Georgia Institute of Technology,Engineering,58300 ,106000 ,0.82 ,67200 ,85200 ,137000 ,183000 
Colorado School of Mines,Engineering,58100 ,106000 ,0.82 ,62200 ,87900 ,142000 ,201000 
Stevens Institute of Technology,Engineering,60600 ,105000 ,0.73 ,68700 ,81900 ,138000 ,185000 
Illinois Institute of Technology (IIT),Engineering,56000 ,97800 ,0.75 ,56100 ,77400 ,121000 ,165000 
Wentworth Institute of Technology,Engineering,53000 ,96700 ,0.82 ,55200 ,74000 ,117000 ,153000 
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,53500 ,95400 ,0.78 ,50600 ,71400 ,124000 ,163000 
South Dakota School of Mines & Technology,Engineering,55800 ,93400 ,0.67 ,71500 ,81900 ,122000 ,147000 
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,51000 ,93400 ,0.83 ,,67400 ,123000 ,
Rochester Institute of Technology (RIT),Engineering,48900 ,84600 ,0.73 ,45000 ,62100 ,112000 ,159000 
Embry-Riddle Aeronautical University (ERAU),Engineering,52700 ,80700 ,0.53 ,49800 ,64000 ,106000 ,142000 
Tennessee Technological University,Engineering,46200 ,80000 ,0.73 ,42100 ,62600 ,99500 ,121000 
University of Illinois at Urbana-Champaign (UIUC),Party,52900 ,96100 ,0.82 ,48200 ,68900 ,132000 ,177000 
"University of Maryland, College Park",Party,52000 ,95000 ,0.83 ,50400 ,68300 ,126000 ,166000 
"University of California, Santa Barbara (UCSB)",Party,50500 ,95000 ,0.88 ,51300 ,71200 ,129000 ,173000 
University of Texas (UT) - Austin,Party,49700 ,93900 ,0.89 ,50100 ,67400 ,129000 ,188000 
State University of New York (SUNY) at Albany,Party,44500 ,92200 ,1.07 ,47000 ,63100 ,135000 ,209000 
University of Florida (UF),Party,47100 ,87900 ,0.87 ,45400 ,62900 ,120000 ,172000 
Louisiana State University (LSU),Party,46900 ,87800 ,0.87 ,43700 ,61300 ,120000 ,165000 
University of Georgia (UGA),Party,44100 ,86000 ,0.95 ,43100 ,57800 ,118000 ,164000 
Pennsylvania State University (PSU),Party,49900 ,85700 ,0.72 ,46300 ,62000 ,117000 ,160000 
Arizona State University (ASU),Party,47400 ,84100 ,0.77 ,44600 ,60700 ,114000 ,163000 
"Indiana University (IU), Bloomington",Party,46300 ,84000 ,0.81 ,43600 ,60400 ,119000 ,178000 
University of Iowa (UI),Party,44700 ,83900 ,0.88 ,43300 ,61100 ,116000 ,163000 
Randolph-Macon College,Party,42600 ,83600 ,0.96 ,,54100 ,123000 ,
"University of Alabama, Tuscaloosa",Party,41300 ,81400 ,0.97 ,40100 ,56500 ,117000 ,161000 
University of Mississippi,Party,41400 ,79700 ,0.93 ,40400 ,53500 ,108000 ,186000 
University of New Hampshire (UNH),Party,41800 ,78300 ,0.87 ,41700 ,56400 ,114000 ,147000 
West Virginia University (WVU),Party,43100 ,78100 ,0.81 ,39700 ,55700 ,106000 ,141000 
University of Tennessee,Party,43800 ,74600 ,0.70 ,41900 ,53200 ,106000 ,153000 
Ohio University,Party,42200 ,73400 ,0.74 ,36600 ,52800 ,106000 ,150000 
Florida State University (FSU),Party,42100 ,73000 ,0.73 ,39600 ,52800 ,107000 ,156000 
Bucknell University,Liberal Arts,54100 ,110000 ,1.03 ,62800 ,80600 ,156000 ,251000 
Colgate University,Liberal Arts,52800 ,108000 ,1.05 ,60000 ,76700 ,167000 ,265000 
Amherst College,Liberal Arts,54500 ,107000 ,0.96 ,,84900 ,162000 ,
Lafayette College,Liberal Arts,53900 ,107000 ,0.99 ,70600 ,79300 ,144000 ,204000 
Bowdoin College,Liberal Arts,48100 ,107000 ,1.22 ,,74600 ,146000 ,
College of the Holy Cross,Liberal Arts,50200 ,106000 ,1.11 ,,65600 ,143000 ,
Occidental College,Liberal Arts,51900 ,105000 ,1.02 ,,54800 ,157000 ,
Washington and Lee University,Liberal Arts,53600 ,104000 ,0.94 ,,82800 ,146000 ,
Swarthmore College,Liberal Arts,49700 ,104000 ,1.09 ,,67200 ,167000 ,
Davidson College,Liberal Arts,46100 ,104000 ,1.26 ,,70500 ,146000 ,
Carleton College,Liberal Arts,47500 ,103000 ,1.17 ,,69400 ,141000 ,
Williams College,Liberal Arts,51700 ,102000 ,0.97 ,,76400 ,143000 ,
Pomona College,Liberal Arts,48600 ,101000 ,1.08 ,,63300 ,161000 ,
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,46500 ,97900 ,1.11 ,42000 ,62500 ,126000 ,215000 
Bates College,Liberal Arts,47300 ,96500 ,1.04 ,,60700 ,162000 ,
Union College,Liberal Arts,47200 ,95800 ,1.03 ,48700 ,75200 ,135000 ,230000 
University of Richmond,Liberal Arts,48600 ,94600 ,0.95 ,44500 ,59400 ,151000 ,211000 
Vassar College,Liberal Arts,46000 ,94600 ,1.06 ,,60600 ,123000 ,
Middlebury College,Liberal Arts,47700 ,94200 ,0.97 ,,69100 ,129000 ,
Mount Holyoke College,Liberal Arts,42400 ,94100 ,1.22 ,,57100 ,131000 ,
Franklin and Marshall College,Liberal Arts,49100 ,92800 ,0.89 ,,55800 ,185000 ,
DePauw University,Liberal Arts,41400 ,88300 ,1.13 ,49500 ,57400 ,133000 ,185000 
St Olaf College,Liberal Arts,45300 ,86200 ,0.90 ,41300 ,61000 ,120000 ,185000 
Colby College,Liberal Arts,46400 ,85800 ,0.85 ,,63500 ,129000 ,
Gettysburg College,Liberal Arts,44700 ,85800 ,0.92 ,,66300 ,132000 ,
Siena College,Liberal Arts,45500 ,85200 ,0.87 ,38700 ,58400 ,129000 ,189000 
Smith College,Liberal Arts,44000 ,83900 ,0.91 ,45100 ,59800 ,129000 ,184000 
Hamilton College,Liberal Arts,49200 ,83700 ,0.70 ,,51900 ,123000 ,
Randolph-Macon College,Liberal Arts,42600 ,83600 ,0.96 ,,54100 ,123000 ,
Wellesley College,Liberal Arts,42800 ,83500 ,0.95 ,,58600 ,125000 ,
Denison University,Liberal Arts,42000 ,83500 ,0.99 ,,62100 ,122000 ,
Oberlin College,Liberal Arts,43400 ,81600 ,0.88 ,,46400 ,128000 ,
University of Puget Sound,Liberal Arts,46600 ,81500 ,0.75 ,48900 ,60100 ,104000 ,137000 
Colorado College (CC),Liberal Arts,38500 ,81400 ,1.11 ,,43000 ,148000 ,
Reed College,Liberal Arts,40500 ,81100 ,1.00 ,,67400 ,101000 ,
Gustavus Adolphus College,Liberal Arts,44500 ,80600 ,0.81 ,,49300 ,101000 ,
Whitman College,Liberal Arts,43500 ,80100 ,0.84 ,,64800 ,111000 ,
Ursinus College,Liberal Arts,42100 ,80000 ,0.90 ,35600 ,54300 ,100000 ,160000 
Juniata College,Liberal Arts,41800 ,78900 ,0.89 ,,67200 ,110000 ,
Wittenberg University,Liberal Arts,39200 ,78200 ,0.99 ,,54100 ,131000 ,
Grinnell College,Liberal Arts,42600 ,76600 ,0.80 ,,65100 ,116000 ,
Skidmore College,Liberal Arts,41600 ,74600 ,0.79 ,,42800 ,147000 ,
Moravian College,Liberal Arts,42500 ,74400 ,0.75 ,,56700 ,94900 ,
Lewis & Clark College,Liberal Arts,38900 ,72600 ,0.87 ,38200 ,53400 ,104000 ,140000 
Fort Lewis College,Liberal Arts,42000 ,69800 ,0.66 ,,55000 ,94000 ,
Thomas Aquinas College,Liberal Arts,41500 ,67500 ,0.63 ,,44600 ,93100 ,
